id,name,location,description,permit_number,phone,website,type_name,city,Starred
1,"Bronx Park Mobile Food Truck","Between Gun Hill Rd. and Waring Ave.",None,X2-MT,None,None,"Mobile Food Truck","New York",FALSE
2,"Bronx Park East Mobile Food Truck","Between Brady & Lydig Avenues",None,X2(3)-MT,None,None,"Mobile Food Truck","New York",FALSE
3,"Seton Park Mobile Food Truck","West 235th Street & Independence Avenue",None,X201-MT,None,None,"Mobile Food Truck","New York",FALSE
4,"Pelham Bay Park Mobile Food Truck","Rice Stadium Place",None,X39(1)-MT,None,None,"Mobile Food Truck","New York",FALSE
5,"Pelham Bay Park Mobile Food Truck","Rodman's Neck Parking Lot",None,X39-3-MT,None,None,"Mobile Food Truck","New York",FALSE
6,"Claremont Park Mobile Food Truck","Mount Eden Pkwy, Morris and Eastburn Aves.",None,X8-(2)MT,None,None,"Mobile Food Truck","New York",FALSE
7,"Peace Park/Cleopatra Plgd Mobile Food Truck","Peace Park/Cleopatra Plgd: Clay Ave., and Cross Bronx Service Rd",None,X148E-258-MT,None,None,"Mobile Food Truck","New York",FALSE
8,"Castle Hill Playground Mobile Food Truck","Olmstead, Turnbull, Castle Hill, Lafayette Aves",None,X151-MT,None,None,"Mobile Food Truck","New York",FALSE
9,"Kissena Park Mobile Food Truck","164th St. and Booth Memorial Ave.",None,Q24-MT,None,None,"Mobile Food Truck","New York",FALSE
10,"People's Park Mobile Food Truck","People's Park: Brook Ave, St Anns Ave, E 141 St; PS18 & Paterson Houses Plgd.: Morris Ave, E 148 St, College Ave, E 145 St; JHS149 Plgd.: 3 Ave, E 144 To E 145 Sts; Willis Plgd.; E 139 St, E 140 St, Willis & Alexander Aves",None,X103-155-200-217-MT,None,None,"Mobile Food Truck","New York",FALSE
11,"Louis C. Moser Park Mobile Food Truck","25th Ave. & 76th St.",None,Q366-MT,None,None,"Mobile Food Truck","New York",FALSE
12,"Marine Park Mobile Truck","Madison & Filmore Aves.",None,B57-1MT,None,None,"Mobile Food Truck","New York",FALSE
13,"Martin Luther Playground Mobile Truck","56th Street, in front of hospital",None,B98-MT,None,None,"Mobile Food Truck","New York",FALSE
14,"PAPAZIAN  Q3400006, AKOP","Skillsman Ave. & 43rd St.",None,Q340-MT,None,None,"Mobile Food Truck","New York",FALSE
15,"Slattery Playground Mobile Truck","Northwest Corner of East 183rd Street & Valentine Avenue",None,X85-MT,None,None,"Mobile Food Truck","New York",FALSE
16,"Central Park Food Cart","Central Park Mall Area, northwest side of the Bandshell",None,M10-72-1A-C,None,None,"Food Cart","New York",FALSE
17,"Pugsley Park Mobile Food Truck","Dead End of Soundview Ave.",None,X88-MT,None,None,"Mobile Food Truck","New York",FALSE
18,"Watson Park Mobile Truck","Watson Ave. & Soundview Ave. b/b Fields",None,X124-2-MT,None,None,"Mobile Food Truck","New York",FALSE
19,"Clearview Cafe","201-10 Cross Island Parkway","The Clearview Cafe, formerly the home of silent film star Rudolph Valentino and Mayor Fiorello LaGuardia, is a fine dining restaurant and banquet hall with breathtaking views of the nearby Throgs Neck Bridge and Little Neck Bay in Queens.  With a golf course view, flanked by an elegant patio, garden, and pond, the 170-seat ground floor, red velvet and mahogany-rich hideaway, which includes a bar and grand fireplace.  The second floor holds a 230-seat banquet space with floor-to-ceiling windows and offers a behind-the-scenes bridal suite that was once the bedroom of Valentino himself.",Q10-A-R,"(718) 281 - 2233",http://www.veranda-restaurant.com/,Restaurant,"New York",FALSE
20,"Central Park Food Cart","West 72 Street path, west of Daniel Webster",None,M10-72-3-C,None,None,"Food Cart","New York",FALSE
21,"Harris Park Mobile Truck","Main Entrance to Park Next to Park House",None,X136-MT,None,None,"Mobile Food Truck","New York",FALSE
22,"Terrace on the Park","52-11 111th Street","Terrace on the park is a full service Event and Catering Facility. The ballroom, fourteen stories high, presents breathtaking views of the New York skyline lit by the setting sun, or a crisp snowfall topping the trees in the park. The kitchen is well versed in preparation of a myriad of ethnic cuisines including southern Italy, contemporary American, and European. The desserts and wedding cake masterpieces are designed and baked on the premises. The private suites on the Ballroom level offer floor-to-ceiling windows, sunken dance floors, and dining rooms with service and amenities that rival a five star hotel. The Penthouse suite features an outdoor reception chapel area in a garden setting. On the well-manicured grounds there is a large gazebo, perfect for photos.",Q99-C-R,"(718) 592-5000",http://www.terraceonthepark.com/,Restaurant,"New York",FALSE
23,"Central Park Food Cart","East Drive and 72 Street",None,M10-72-ED-C,None,None,"Food Cart","New York",FALSE
24,"Rainey Park Mobile Truck","Dawson Pl. & Dawson Ave.",None,X255-MT,None,None,"Mobile Food Truck","New York",FALSE
25,"Central Park Food Cart","West Drive, between West 74 and West 75 streets",None,M10-74-WD-C,None,None,"Food Cart","New York",FALSE
26,"World's Fair Marina Restaurant","1 Worlds Fair Marina","The World's Fair Marina was originally built as an observation deck for the 1964 World's Fair. Today the World's Fair Marina is a restaurant and banquet hall. Located on Flushing Bay and overlooking La Guardia Airport, it is a picturesque location for weddings, to sweet 16's to any corporate event. The World's Fair team handles events from 50 to 500 people. Menu offerings include exotic Indian and continental cuisine.",Q99G-R,"(718) 898-1200",http://www.worldfairmarina.com/,Restaurant,"New York",FALSE
27,"Charles Drew Memorial Park Mobile Ice Cream Truck","Van Wyck Expressway, 116th",None,Q220-MT,None,None,"Mobile Food Truck","New York",FALSE
28,"Central Park Food Cart","East of West Drive, West 81 Street path to Delacorte Theater",None,M10-81-WD-C,None,None,"Food Cart","New York",FALSE
29,"South Shore Country Club","200 Huguenot Avenue","South Shore Country Club is located in the heart of Staten Island overlooking the Golf Course. South Shore Country Club is a full service facility with a wide assortment of breakfast, lunch, dinner and bar selections for any event. The banquet staff can assist in arranging any event, from grand to intimate, including weddings, holiday parties, showers, conference, company parties, retreats, incentive dinners and reunions. Whether you are planning an intimate celebration or a luxurious reception you will find the South Shore Country Club's soft decor will present an elegant setting for all your guests.",R104-R,718-356-2771,http://grandoaksnyc.com/,Restaurant,"New York",FALSE
30,"Dredsurfer LLC","Beach 17th Street","The DreadSurfer snack bar began operations in 2014. The menu offers smoothies and standard fair such as hot dogs, hamburgers, and french fries. The DreadSurfer also offers specialty items such as crab legs, salmon burgers and Caribbean specialties like jerk chicken, curry goat, and oxtail. There is seating available right on the boardwalk where you can enjoy great views while enjoying a glass of wine or beer.",Q162-2-SB,None,None,"Snack Bar","New York",FALSE
31,"Crotona Park Mobile Food Truck","At Entrance to Hill & Dale Playground at East 173rd Street",None,X10-(5)MT,None,None,"Mobile Food Truck","New York",FALSE
32,"Central Park Food Cart","East 84 Street, pedestrian path, west side of East Drive",None,M10-84-ED-C,None,None,"Food Cart","New York",FALSE
33,"The Vanderbilt at South Beach","300 Father Capodanno Boulevard","If your vision is a seaside wedding ceremony with a sunset cocktail reception, a super sweet sixteen, an extravagant Bat/Bar Mitzvah or even a full banquet on the beach, our specialized event planners will help you make your dream a reality! With dramatic ocean views, relaxing natural acoustics, and truly magnificent vista of the Verrazano Narrows Bridge, our facility is the perfect setting for any occasion you are planning! We take pride in our experience and ability in customizing every event to suit its needs, while making every special occasion memorable! We focus on all the details so you can relax and fully enjoy your event! As you embark on a journey through our website, www.VanderbiltSouthBeach.com, we invite you to discover a new horizon of elegance with a never ending focus on service, quality, and professionalism. Our magnificent oceanfront facility offers customized service & a refined elegance unmatched anywhere in New York!",R46-R,"(718) 447-0800",http://www.vanderbiltsouthbeach.com/,Restaurant,"New York",FALSE
34,"Crotona Park Mobile Food Truck","North from Prospect Street to Clinton Street",None,X10-(8)MT,None,None,"Mobile Food Truck","New York",FALSE
35,"Central Park Food Cart","Northwest corner of Heckscher ballfields",None,M10-W65-C,None,None,"Food Cart","New York",FALSE
36,"The Stone House","1150 Clove Road","The perfect getaway in Clove Lakes Park. Escape the everyday grind and experience their fine dining in this picturesque setting on the lake. Enjoy brunch, lunch, dinner and cocktails. Have your wedding, anniversary, shower or corporate event. The restaurant features a great dining experience on their terrace or waterfront patio.","R5-SB,BR,R","(718) 442-3600",http://thestonehousesi.com/,Restaurant,"New York",FALSE
37,"Crotona Park Mobile Food Truck","East 173rd Street & Fulton Avenue At Entrance to Pool",None,X10-(P)MT,None,None,"Mobile Food Truck","New York",FALSE
38,"The Hudson","Dyckman Marina Restaurant","The Hudson will offer BBQ, seafood, sandwiches, burgers, salads, and vegetarian cuisine",M28-R,None,https://thehudson.nyc/,Restaurant,"New York",FALSE
39,"Carroll Park Mobile Truck","Carroll Park",None,B19-MT,None,None,"Mobile Food Truck","New York",FALSE
