id,Name,Location,Latitude,Longitude
20224,' 1 Bed Apt in Utopic Williamsburg ','Brooklyn',40.7119,-73.9608
24566,' 2-3 bedroom UWS garden triplex ','Manhattan',40.798,-73.9617
23309,' 3 bedroom loft in Williamsburg','Brooklyn',40.7117,-73.9632
21147,' A charming Space in Brooklyn ','Brooklyn',40.6918,-73.9467
18978,' Affordable & Cozy ','Bronx',40.8581,-73.9068
23576,' AMAZING TIME SQUARE!!BRICK WALLS!!','Manhattan',40.7607,-73.9921
24444,' Beautiful Room In Gramercy!!!','Manhattan',40.7354,-73.9806
28778,'- C - Cozy Secure Private Room in a Shared Loft','Brooklyn',40.7175,-73.9642
22877,' Family Friendly Brooklyn House','Brooklyn',40.6702,-73.9935
22817,' garden view  / female guest ','Queens',40.7549,-73.8182
19156,' Heart & Soul of Greenwich Village ','Manhattan',40.7313,-73.9994
20702,"' Private 1 bdrm Lefferts Gr, BK apt'",'Brooklyn',40.6574,-73.9615
22808,' quaint apartment with city views','Queens',40.7105,-73.9179
25928,' Studio apartment in Greenpoint','Brooklyn',40.7307,-73.955
39703,"'! ! ! Coliving: live, work, create'",'Brooklyn',40.6515,-73.9496
30209,"'!! CLASSIC, LUXURY & CHARM !! By Central Park UWS'",'Manhattan',40.7861,-73.9735
39719,'!!! Beautiful private room with backyard.','Brooklyn',40.6392,-73.9473
39720,'!!! Outpost Coliving . Shared twin room','Brooklyn',40.6502,-73.9505
39690,'!!!Co-Housing taken to the Next Level /Flatbush/2','Brooklyn',40.6447,-73.9495
39664,'!!!Living&Working. Beautiful Coliving on Flatbush','Brooklyn',40.6451,-73.9488
39704,'!!!Outpost Coliving . Flatbush. Cozy shared room','Brooklyn',40.6448,-73.9647
26782,'!!BEAUTIFUL APARTMENT WITH GARDEN!!','Manhattan',40.8749,-73.9106
51800,'!!Cozy 3-person shared room near  L train!!','Brooklyn',40.7217,-73.9399
65706,'!!Renovated shared room in great neighborhood!!','Brooklyn',40.7009,-73.9408
23992,'!!Studio next to Empire State Bldg.','Manhattan',40.7482,-73.9856
54171,'!AMAZING PRIVATE ROOM 2 MIN FROM TRAIN STATION!','Brooklyn',40.6824,-73.9077
51758,'!Captivating Private Room','Brooklyn',40.6889,-73.9149
54173,'!PERFECT PRIVATE ROOM PLACE 2MIN FROM THE SUBWAY!','Brooklyn',40.6824,-73.906
30221,'!Spacious & Modern Brooklyn Loft!','Brooklyn',40.7084,-73.9208
41037,'# 1 A Brooklyn New York Apt: close to metro subway','Brooklyn',40.6338,-73.9439
47119,"'# 1 B Brooklyn NYC Apt close to metro subway, JFK'",'Brooklyn',40.6344,-73.944
36263,"'# CENTRAL PARK - 3 stops away (32TV room)'""",'Manhattan',40.8192,-73.9528
27909,'# sunny skylit sanctuary in the heart of BK! #','Brooklyn',40.6959,-73.9338
36319,'# TIMES SQUARE - 19 MinutesBIG ROOM','Manhattan',40.821,-73.9547
55707,'#1','Manhattan',40.7343,-73.9969
49461,'#1  Spacious Private Room','Staten Island',40.6348,-74.0854
65494,'#1 Hotel-Like Private Room King Bed Near JFK','Queens',40.6916,-73.8658
38854,'#1 Ideal Williamsburg Stay -1 block from Lorimer L','Brooklyn',40.7131,-73.9533
58050,'#1 JFK/NYC Home sweet home!','Queens',40.6858,-73.8598
26168,'#1 LARGE STUDIO NEAR CENTRAL PARK!','Manhattan',40.7711,-73.9552
39375,'#1 Large sunny Studio 5 blocks from CENTRAL PARK!','Manhattan',40.7725,-73.9543
56307,'#1 Modern Gem 2br apt..(Street parking available)','Queens',40.7536,-73.8922
63228,'#1 NY Perfect Destination . Hells' kitchen!!','Manhattan',40.7606,-73.9965
40771,'#1 Private comfy Room 20 minutes from  Manhattan','Bronx',40.8139,-73.9155
26722,'#1 Private room near CENTRAL PARK!','Manhattan',40.7707,-73.9542
23391,"'#1 PRIVATE STUDIO IN BX,15MINS NYC.'",'Bronx',40.8105,-73.9043
38651,'#1 Rated 3br Park Slope Apt (1700sqf+Renovated!)','Brooklyn',40.6734,-73.9824
62396,'#1 Shared ROOM 4YOU for 6 guests','Brooklyn',40.6674,-73.9367
43086,"'#1 Spacious Cozy Room, 30 minutes from Manhattan'",'Brooklyn',40.6875,-73.8726
24218,'#1 Superhost Special Offer in NYC!','Brooklyn',40.6956,-73.9483
19274,'#1 Yellow Block BnB/see at Net Flix Show Stay Here','Brooklyn',40.6849,-73.9549
55705,'#2 Apartment','Manhattan',40.7343,-73.9967
61231,"'#2 Cozy 1 bedroom apartment,2 block to CENTRALPARK'",'Manhattan',40.7891,-73.9496
64598,'#2 Hotel-like Private Room KING Bed near JFK','Queens',40.6929,-73.8638
39430,'#2 Ideal Williamsburg - L trian Lorimer Stop!','Brooklyn',40.7137,-73.9536
61212,'#2 Make yourself at home. (close to LGA and JFK)','Queens',40.7613,-73.8819
59068,'#2 Minutes to JFK!!!','Queens',40.6871,-73.8598
43278,"'#2 Newly Renovated Room , 30 minutes to Manhattan'",'Brooklyn',40.687,-73.8704
62399,'#2 ROOM 4LEDY (4 guests)','Brooklyn',40.6678,-73.9373
45124,"'#2,单间双人房,(共用卫生间)'",'Queens',40.7555,-73.8355
54420,"'#2BED Luxury Midtown Full Kitchen, Comp Breakfast'",'Manhattan',40.7531,-73.9666
43256,"'#3 Bright And Cozy Room, 30 minutes to Manhattan'",'Brooklyn',40.6884,-73.8725
61232,"'#3 Cozy Studio , 2 blocks from Central Park'",'Manhattan',40.7888,-73.9484
66202,'#3 Hotel-Like LOFT Private Room KING Bed Near JFK','Queens',40.693,-73.864
40842,'#3 Private  Quadruple  Room  20mnts from Manhattan','Bronx',40.8122,-73.9178
43579,"'#4 Cozy And Bright Room, 30 Minutes to Manhattan'",'Brooklyn',40.6886,-73.8706
61215,"'#4 Cozy studio, 2 blocks from CENTRAL PARK'",'Manhattan',40.7891,-73.9491
66243,'#4 Hotel-Like LOFT Private Room KING bed near JFK','Queens',40.6931,-73.8653
63090,'#4 ROOM 4FAMILY (4 guests) Train 3 Kingston Ave','Brooklyn',40.6688,-73.9389
40770,'#4 Triple Private  room  20 minutes from Manhattan','Bronx',40.8123,-73.9169
55004,'#5 Quadruple private bedroom for 1-4 people','Bronx',40.8132,-73.917
61638,'#5 STUDIO one block to train station','Manhattan',40.7897,-73.9493
61642,"'#6 Cozy Studio, one block from train station'",'Manhattan',40.79,-73.9496
64330,'#8 Hotel-Like 1 Bedroom Apartment KINGBed near JFK','Queens',40.6911,-73.8646
49758,'#Awesome 2 BR Flat Times Square!','Manhattan',40.7639,-73.9922
37654,'#BBS 2-BR Apartment Near Times Square *Specials*','Manhattan',40.7649,-73.9824
