id,Name,Address,Location,Postal_code,Starred
1,"Bronx Park Mobile Food Truck","Between Gun Hill Rd. and Waring Ave.","New York",NULL,FALSE
2,"Bronx Park East Mobile Food Truck","Between Brady & Lydig Avenues","New York",NULL,FALSE
3,"Seton Park Mobile Food Truck","West 235th Street & Independence Avenue","New York",NULL,FALSE
4,"Pelham Bay Park Mobile Food Truck","Rice Stadium Place","New York",NULL,FALSE
5,"Pelham Bay Park Mobile Food Truck","Rodman's Neck Parking Lot","New York",NULL,FALSE
6,"Claremont Park Mobile Food Truck","Mount Eden Pkwy, Morris and Eastburn Aves.","New York",NULL,FALSE
7,"Peace Park/Cleopatra Plgd Mobile Food Truck","Peace Park/Cleopatra Plgd: Clay Ave., and Cross Bronx Service Rd","New York",NULL,FALSE
8,"Castle Hill Playground Mobile Food Truck","Olmstead, Turnbull, Castle Hill, Lafayette Aves","New York",NULL,FALSE
9,"Kissena Park Mobile Food Truck","164th St. and Booth Memorial Ave.","New York",NULL,FALSE
10,"People's Park Mobile Food Truck","People's Park: Brook Ave, St Anns Ave, E 141 St; PS18 & Paterson Houses Plgd.: Morris Ave, E 148 St, College Ave, E 145 St; JHS149 Plgd.: 3 Ave, E 144 To E 145 Sts; Willis Plgd.; E 139 St, E 140 St, Willis & Alexander Aves","New York",NULL,FALSE
11,"Louis C. Moser Park Mobile Food Truck","25th Ave. & 76th St.","New York",NULL,FALSE
12,"Marine Park Mobile Truck","Madison & Filmore Aves.","New York",NULL,FALSE
13,"Martin Luther Playground Mobile Truck","56th Street, in front of hospital","New York",NULL,FALSE
14,"PAPAZIAN  Q3400006, AKOP","Skillsman Ave. & 43rd St.","New York",NULL,FALSE
15,"Slattery Playground Mobile Truck","Northwest Corner of East 183rd Street & Valentine Avenue","New York",NULL,FALSE
16,"Central Park Food Cart","Central Park Mall Area, northwest side of the Bandshell","New York",NULL,FALSE
17,"Pugsley Park Mobile Food Truck","Dead End of Soundview Ave.","New York",NULL,FALSE
18,"Watson Park Mobile Truck","Watson Ave. & Soundview Ave. b/b Fields","New York",NULL,FALSE
19,"Clearview Cafe","201-10 Cross Island Parkway","New York",NULL,FALSE
20,"Central Park Food Cart","West 72 Street path, west of Daniel Webster","New York",NULL,FALSE
21,"Harris Park Mobile Truck","Main Entrance to Park Next to Park House","New York",NULL,FALSE
22,"Terrace on the Park","52-11 111th Street","New York",NULL,FALSE
23,"Central Park Food Cart","East Drive and 72 Street","New York",NULL,FALSE
24,"Rainey Park Mobile Truck","Dawson Pl. & Dawson Ave.","New York",NULL,FALSE
25,"Central Park Food Cart","West Drive, between West 74 and West 75 streets","New York",NULL,FALSE
26,"World's Fair Marina Restaurant","1 Worlds Fair Marina","New York",NULL,FALSE
27,"Charles Drew Memorial Park Mobile Ice Cream Truck","Van Wyck Expressway, 116th","New York",NULL,FALSE
28,"Central Park Food Cart","East of West Drive, West 81 Street path to Delacorte Theater","New York",NULL,FALSE
29,"South Shore Country Club","200 Huguenot Avenue","New York",NULL,FALSE
30,"Dredsurfer LLC","Beach 17th Street","New York",NULL,FALSE
31,"Crotona Park Mobile Food Truck","At Entrance to Hill & Dale Playground at East 173rd Street","New York",NULL,FALSE
32,"Central Park Food Cart","East 84 Street, pedestrian path, west side of East Drive","New York",NULL,FALSE
33,"The Vanderbilt at South Beach","300 Father Capodanno Boulevard","New York",NULL,FALSE
34,"Crotona Park Mobile Food Truck","North from Prospect Street to Clinton Street","New York",NULL,FALSE
35,"Central Park Food Cart","Northwest corner of Heckscher ballfields","New York",NULL,FALSE
