id,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,"CUISINE DESCRIPTION",Starred
1,40511702,"NOTARO RESTAURANT",MANHATTAN,635,"SECOND AVENUE",10016,2126863400,Italian,FALSE
2,41705370,"AKIMOTO SUSHI",MANHATTAN,187,"CHURCH STREET",10007,2127663351,Japanese,FALSE
3,40511702,"NOTARO RESTAURANT",MANHATTAN,635,"SECOND AVENUE",10016,2126863400,Italian,FALSE
4,50018480,"''W'' CAFE",MANHATTAN,390,"5TH AVE",10018,2125639444,American,FALSE
5,40376944,"TOMOE SUSHI",MANHATTAN,172,"THOMPSON STREET",10012,2127779346,Japanese,FALSE
6,40385693,"SALUMERIA BEILLESE/ BIRICCHINO REST",MANHATTAN,378,"8 AVENUE",10001,2127367376,Italian,FALSE
7,41704249,"FAMOUS FAMIGLIA PIZZERIA",MANHATTAN,1398,"MADISON AVENUE",10029,2129969797,Pizza,FALSE
8,40401912,O'NIEALS,MANHATTAN,174,"GRAND STREET",10013,2129419119,American,FALSE
9,41525016,"DA MIKELE",MANHATTAN,275,"CHURCH STREET",10013,2129258800,Italian,FALSE
10,50012426,ALPHAVILLE,BROOKLYN,140,"WILSON AVE",11237,2013042844,American,FALSE
11,40897778,"RENAISSANCE HOTEL",MANHATTAN,714,"7 AVENUE",10036,2122615125,American,FALSE
12,50002470,"PIZZETTERIA BRUNETTI",MANHATTAN,626,"HUDSON STREET",10014,2122555699,Pizza,FALSE
13,41434581,DELIMARIE,MANHATTAN,106,"DUANE STREET",10007,2123496902,American,FALSE
14,41711477,"AUX EPICES",MANHATTAN,121,"BAXTER STREET",10013,2122748585,Asian,FALSE
15,40560896,"YAKITORI TAISHO",MANHATTAN,5,"ST MARKS PLACE",10003,2122285086,Japanese,FALSE
16,41396241,"KITCHEN PROVANCE",MANHATTAN,55,"WEST   38 STREET",10018,2128692561,American,FALSE
17,41552184,"NOM WAH TEA/DIM SUM PALOR",MANHATTAN,13,"DOYERS STREET",10013,2129626047,Chinese,FALSE
18,41105757,"EL BARRIO RESTAURANT",MANHATTAN,158,"EAST  116 STREET",10029,2128763548,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
19,50044002,"BALLY TOTAL FITNESS JUICE BAR",MANHATTAN,139,"W 32ND ST",10001,2124651750,"Juice, Smoothies, Fruit Salads",FALSE
20,41575449,"MIDNIGHT EXPRESS",MANHATTAN,1715,"2 AVENUE",10128,2128602320,American,FALSE
21,41171815,"ANGEL CANDY STORE",MANHATTAN,634,"WEST  207 STREET",10034,2127420679,American,FALSE
22,41468267,"ICHI UMI",MANHATTAN,6,"EAST   32 STREET",10016,2127251333,Japanese,FALSE
23,40541030,"BASTA PASTA RESTAURANT",MANHATTAN,37,"WEST 17 STREET",10011,2123660888,Italian,FALSE
24,41256599,"HARRY'S ITALIAN",MANHATTAN,2,"GOLD STREET",10038,2127470797,Italian,FALSE
25,41539844,"SAIGON MARKET",MANHATTAN,9193,"UNIVERSITY PLACE",10003,2129823691,Vietnamese/Cambodian/Malaysia,FALSE
26,40668380,"WOLF AND LAMB",MANHATTAN,10,"EAST   48 STREET",10017,2123171950,Steak,FALSE
27,50052962,"THE JOHN LAMB",MANHATTAN,119,"ORCHARD ST",10002,2123924244,American,FALSE
28,41315226,CHOP'T,MANHATTAN,145,"WEST 51 STREET",10019,2129748140,Salads,FALSE
29,50060117,KBBQ,MANHATTAN,672,"LEXINGTON AVE",10022,2123178822,Korean,FALSE
30,40391417,"THE BEEKMAN",MANHATTAN,15,"BEEKMAN STREET",10038,2127327333,Irish,FALSE
31,50004033,"CHIPOTLE MEXICAN GRILL",MANHATTAN,234,"5TH AVE",10001,2125320372,Mexican,FALSE
32,50012426,ALPHAVILLE,BROOKLYN,140,"WILSON AVE",11237,2013042844,American,FALSE
33,41473028,"OLD SICHUAN CUISINE",MANHATTAN,65,"BAYARD STREET",10013,2122279888,Chinese,FALSE
34,50011289,"PASTAFINA PIZZA",MANHATTAN,388,"3RD AVE",10016,2122510708,Pizza,FALSE
35,41406895,"SUN SAI GAI RESTAURANT",MANHATTAN,220,"CANAL STREET",10013,2129647256,Chinese,FALSE
36,41427683,"HUDSON'S MARKET @ SHERATON NEW YORK",MANHATTAN,811,"7 AVENUE",10019,2128416569,American,FALSE
37,40513609,"SKYLIGHT DINER",MANHATTAN,402,"WEST   34 STREET",10001,2122440395,American,FALSE
38,50051612,"DOS CAMINOS",MANHATTAN,1567,BROADWAY,10036,2129181330,Mexican,FALSE
39,40376718,"PJ BERNSTEIN DELI & RESTAURANT",MANHATTAN,1215,"THIRD AVENUE",10021,2128790914,Delicatessen,FALSE
40,41454995,"MANOLO TAPAS RESTAURANT",MANHATTAN,4161,BROADWAY,10033,2129239100,Tapas,FALSE
41,41478388,"18 RESTAURANT",MANHATTAN,240,"EAST   81 STREET",10028,2125172400,Jewish/Kosher,FALSE
42,40366396,"DESMOND'S TAVERN",MANHATTAN,433,"PARK AVENUE SOUTH",10016,2126849472,American,FALSE
43,41319437,"IL CORSO RISTORANTE ITALIANO",MANHATTAN,54,"WEST   55 STREET",10019,2129571500,Italian,FALSE
44,41278299,"LEMON LEAVES",MANHATTAN,55,"LIBERTY STREET",10005,2124252890,Chinese/Japanese,FALSE
45,40397962,"BEN ASH DELICATESSEN",MANHATTAN,855,"7 AVENUE",10019,2122651818,Delicatessen,FALSE
46,50055396,MCDONALD'S,MANHATTAN,136,"W 3RD ST",10012,2126742626,American,FALSE
47,41704194,"THE BREAD FACTORY",MANHATTAN,935,"8 AVENUE",10019,2125862221,American,FALSE
48,50037405,FIKA,MANHATTAN,41,"W 58TH ST",10019,2128320022,"Sandwiches/Salads/Mixed Buffet",FALSE
49,41411901,"GULLUOGLU BAKLAVA & CAFE",MANHATTAN,982,"2 AVENUE",10022,2128130500,Turkish,FALSE
50,41645110,"SILVER PALACE",MANHATTAN,3438,BROADWAY,10031,2122838000,Chinese,FALSE
51,41634737,"BISTRO CATERERS",MANHATTAN,147,"WEST   51 STREET",10019,2125869191,American,FALSE
52,41223834,"CHIPOTLE MEXICAN GRILL",MANHATTAN,350,"5 AVENUE",10118,2126950412,Mexican,FALSE
53,50045788,"CHINELOS II DELI-GROCERY RESTAURANT",MANHATTAN,530,"W 136TH ST",10031,2126906077,Mexican,FALSE
54,41117553,"EPISTROPHY CAFE",MANHATTAN,200,"MOTT STREET",10012,2129660904,Italian,FALSE
55,41313211,"AFRICAN AMERICAN BEST FOOD",MANHATTAN,410,"LENOX AVENUE",10037,2126908052,African,FALSE
56,41716444,"TOTTO RAMEN",MANHATTAN,366,"WEST   52 STREET",10019,2125820052,Japanese,FALSE
57,41266621,"MAGNOLIA BAKERY",MANHATTAN,401,"BLEECKER STREET",10014,2124622572,Bakery,FALSE
58,41586885,"CENTRAL MARKET ALL AMERICAN GRILL",MANHATTAN,4,"SOUTH STREET",10004,2125145220,American,FALSE
59,41527847,"THE COTTAGE/AZUKI JAPANESE",MANHATTAN,120,"EAST   16 STREET",10003,2125058600,Chinese,FALSE
60,40602855,STARBUCKS,MANHATTAN,462,"7 AVENUE",10018,2122796432,CafÃƒÂ©/Coffee/Tea,FALSE
61,41313546,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,455,"PARK AVENUE SOUTH",10016,2122139010,Donuts,FALSE
62,40645418,"IBM EXECUTIVE DINING ROOM",MANHATTAN,590,"MADISON AVE",10022,2128211757,American,FALSE
63,41363184,"BEAN N BEAN",MANHATTAN,71,BROADWAY,10006,2124228083,American,FALSE
64,40626708,"LA MIRABELLE RESTAURANT",MANHATTAN,102,"WEST   86 STREET",10024,2124960458,French,FALSE
65,41662786,"THE PONY BAR",MANHATTAN,1444,"1 AVENUE",10021,2122880090,American,FALSE
66,50045888,"WHITE HORSE TAVERN",MANHATTAN,25,"BRIDGE ST",10004,2126689046,American,FALSE
67,50017257,"PICK & PAY GYRO & PIZZA",MANHATTAN,30,"LEXINGTON AVE",10010,2123878200,Pizza,FALSE
68,40377325,"JACKSON HOLE",MANHATTAN,521,"THIRD AVENUE",10016,2126793264,American,FALSE
69,41025359,SMILERS,MANHATTAN,554,"5 AVENUE",10036,2128406580,American,FALSE
70,41600159,"JUMBO'S HAMBURGERS",MANHATTAN,274,"WEST  145 STREET",10039,2124915444,Hamburgers,FALSE
71,41114768,"PUFFY'S TAVERN",MANHATTAN,81,"HUDSON STREET",10013,2122273912,American,FALSE
