name,address,Phone,Website,"Location 1",Borough,postal_code,latitude,longitude,"Community Board","Community Council","Census Tract",BIN,BBL,city,id
"Paramount Hotel","235 W 46th St","(212) 764-5500",http://www.nycparamount.com,"{'latitude': '40.759132', 'longitude': '-73.986348', 'needs_recoding': False}",1,10036,40.759132,-73.986348,5,3,125,1024737,1010180006,Manhattan,1
"Carter Hotel","250 W 43rd St","(212) 944-6000",,"{'latitude': '40.757309', 'longitude': '-73.987901', 'needs_recoding': False}",1,10036,40.757309,-73.987901,5,3,119,1085096,1010140055,Manhattan,2
"Millennium Hotel","145 W 44th St","(212) 768-4400",http://www.millenniumhotelnyc.com/,"{'latitude': '40.756667', 'longitude': '-73.984396', 'needs_recoding': False}",1,10036,40.756667,-73.984396,5,4,119,1085016,1009970010,Manhattan,3
"Best Western President Hotel","234 W 48th St","(212) 246-8800",http://www.bestwestern.com,"{'latitude': '40.760454', 'longitude': '-73.985655', 'needs_recoding': False}",1,10036,40.760454,-73.985655,5,3,125,1024764,1010190055,Manhattan,4
Novotel,"226 W 52nd St","(212) 315-0100",www.novotel.com,"{'latitude': '40.762897', 'longitude': '-73.983683', 'needs_recoding': False}",1,10019,40.762897,-73.983683,5,3,131,1024817,1010230018,Manhattan,5
"Dream Hotel","1674 Broadway","(212) 247-2000",http://www.dreamny.com/,"{'latitude': '40.762861', 'longitude': '-73.983109', 'needs_recoding': False}",1,10019,40.762861,-73.983109,5,4,131,1024831,1010240131,Manhattan,6
"W Hotel","1567 Broadway","(212) 930-7400",http://www.starwoodhotels.com/whotels/index.html,"{'latitude': '40.759247', 'longitude': '-73.985168', 'needs_recoding': False}",1,10036,40.759247,-73.985168,5,3,125,1024742,1010187501,Manhattan,7
"Doubletree Guest Suites","1568 Broadway",2127191600,www.nycdoubletreehotels.com,"{'latitude': '40.759055', 'longitude': '-73.98471', 'needs_recoding': False}",1,10036,40.759055,-73.98471,5,4,125,1000000,1009990061,Manhattan,8
"Stay Hotel","157 W 47th St","(212) 768-3700",,"{'latitude': '40.758678', 'longitude': '-73.983342', 'needs_recoding': False}",1,10036,40.758678,-73.983342,5,4,125,1022676,1010000007,Manhattan,9
"Hotel 41 At Times Square","206 W 41st St","(212) 703-8600",,"{'latitude': '40.755597', 'longitude': '-73.987999', 'needs_recoding': False}",1,10036,40.755597,-73.987999,5,3,113,1024650,1010120037,Manhattan,10
"Time Hotel, The","224 W 49th St","(877) 846-3692",http://www.thetimeny.com/,"{'latitude': '40.761014', 'longitude': '-73.985052', 'needs_recoding': False}",1,10019,40.761014,-73.985052,5,3,125,1024782,1010200051,Manhattan,11
"Hilton Times Square","234 W 42nd St","(212) 642-2510",,"{'latitude': '40.756747', 'longitude': '-73.988659', 'needs_recoding': False}",1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Manhattan,12
"The Westin New York at Times Square","270 W 43rd St","(212) 868-1900 ext 245",www.westinny.com,"{'latitude': '40.757482', 'longitude': '-73.988309', 'needs_recoding': False}",1,10036,40.757482,-73.988309,5,3,119,1087141,1010140058,Manhattan,13
